Time,Category level 0,Category level 1,Category level 2,Unique SKUs Listed,Unique SKUs Sold,# of sold SKU items,Price before Discount (includ. VAT) (EUR),Discount Value (EUR),Item COGS (net VAT) (EUR),"Waste, # of items"
2023-07-03,Grocery Food,"☕️ Coffee, Tea & Cocoa",Coffee Pods & Capsules,22,13,23,106.292507,5.87519,68.38522,0
2023-09-21,Grocery Food,🥤 Beverages,Kombucha,0,0,0,0,0,0,0
2023-08-12,Grocery Food,💧 Water & Flavoured Water,Flavoured Still water,13,11,35,53.395193,2.76332,32.83007,0
2023-07-20,Grocery Food,"☕️ Coffee, Tea & Cocoa",Coffee Pods & Capsules,22,11,27,110.291294,7.740026,70.92822,0
2023-08-01,Grocery Food,🧑‍🍳 Pantry,"Honey, Jam & Spreads",38,7,12,47.470101,1.812982,29.99126,0
2023-09-03,Grocery Food,🍷 Wine,Non-Alcoholic Wine,2,0,0,0,0,0,0
2023-08-14,Grocery Food,🍿 Salty Snacks,Popcorn,8,6,24,19.527387,0.768954,13.88694,0
2023-08-14,Grocery Food,"☕️ Coffee, Tea & Cocoa",Cocoa & Powder Drinks,4,2,4,8.794408,1.011782,5.96547,0
2023-07-22,Grocery Food,🥘 Instant Meals,Instant Soups,13,5,15,17.894903,1.620365,10.04424,0
2023-09-18,Grocery Food,🥤 Beverages,More Beverages,0,0,0,0,0,0,0
